INFO : 2021-08-02 10:45:50,028 : autoreload : 2924 : 17212 : Watching for file changes with StatReloader
DEBUG : 2021-08-02 10:45:50,028 : autoreload : 2924 : 17212 : Waiting for apps ready_event.
DEBUG : 2021-08-02 10:45:50,310 : autoreload : 2924 : 17212 : Apps ready_event triggered. Sending autoreload_started signal.
DEBUG : 2021-08-02 10:45:50,371 : autoreload : 2924 : 17212 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\accounts\templates with glob **/*.
DEBUG : 2021-08-02 10:45:50,371 : autoreload : 2924 : 17212 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\products\templates with glob **/*.
DEBUG : 2021-08-02 10:45:50,371 : autoreload : 2924 : 17212 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\allauth\socialaccount\providers\facebook\templates with glob **/*.
DEBUG : 2021-08-02 10:45:50,371 : autoreload : 2924 : 17212 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\import_export\templates with glob **/*.
DEBUG : 2021-08-02 10:45:50,371 : autoreload : 2924 : 17212 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\home\templates with glob **/*.
DEBUG : 2021-08-02 10:45:50,371 : autoreload : 2924 : 17212 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\allauth\templates with glob **/*.
DEBUG : 2021-08-02 10:45:50,371 : autoreload : 2924 : 17212 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\crispy_forms\templates with glob **/*.
DEBUG : 2021-08-02 10:45:50,379 : autoreload : 2924 : 17212 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\locale with glob **/*.mo.
DEBUG : 2021-08-02 10:45:50,379 : autoreload : 2924 : 17212 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\accounts\locale with glob **/*.mo.
DEBUG : 2021-08-02 10:45:50,379 : autoreload : 2924 : 17212 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\home\locale with glob **/*.mo.
DEBUG : 2021-08-02 10:45:50,379 : autoreload : 2924 : 17212 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\products\locale with glob **/*.mo.
DEBUG : 2021-08-02 10:45:50,379 : autoreload : 2924 : 17212 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\crispy_forms\locale with glob **/*.mo.
DEBUG : 2021-08-02 10:45:50,379 : autoreload : 2924 : 17212 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\import_export\locale with glob **/*.mo.
DEBUG : 2021-08-02 10:45:50,379 : autoreload : 2924 : 17212 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\allauth\locale with glob **/*.mo.
DEBUG : 2021-08-02 10:45:50,379 : autoreload : 2924 : 17212 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\allauth\account\locale with glob **/*.mo.
DEBUG : 2021-08-02 10:45:50,379 : autoreload : 2924 : 17212 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\allauth\socialaccount\locale with glob **/*.mo.
DEBUG : 2021-08-02 10:45:50,379 : autoreload : 2924 : 17212 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\allauth\socialaccount\providers\google\locale with glob **/*.mo.
DEBUG : 2021-08-02 10:45:50,379 : autoreload : 2924 : 17212 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\allauth\socialaccount\providers\facebook\locale with glob **/*.mo.
DEBUG : 2021-08-02 10:45:50,547 : utils : 2924 : 14400 : (0.016) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None
DEBUG : 2021-08-02 10:45:50,547 : utils : 2924 : 14400 : (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=()
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1626675429.0547273
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\urllib3\util\__init__.py first seen with mtime 1626676977.4652038
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\asyncio\transports.py first seen with mtime 1624876618.0
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\odf\attrconverters.py first seen with mtime 1579366058.0
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\utils\connection.py first seen with mtime 1626675429.1150844
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\openpyxl\chart\reference.py first seen with mtime 1626676986.143966
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\socket.py first seen with mtime 1624876618.0
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\import_export\templatetags\import_export_tags.py first seen with mtime 1626677112.9989095
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\allauth\socialaccount\providers\google\provider.py first seen with mtime 1601720715.0
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\odf\__init__.py first seen with mtime 1579366058.0
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\openpyxl\comments\author.py first seen with mtime 1626676986.1706975
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\__init__.py first seen with mtime 1626675423.580042
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1626675428.7613025
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\http\cookiejar.py first seen with mtime 1624876618.0
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1626675423.3418145
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\numpy\lib\npyio.py first seen with mtime 1626675319.921344
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\MarkupPy\__init__.py first seen with mtime 1499806992.0
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1626675423.3418145
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\middleware\cache.py first seen with mtime 1626675429.022555
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\DLLs\pyexpat.pyd first seen with mtime 1624876734.0
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\openpyxl\chart\stock_chart.py first seen with mtime 1626676986.150852
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\db\__init__.py first seen with mtime 1626675428.7532837
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\numpy\compat\py3k.py first seen with mtime 1626675319.3189547
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\unittest\util.py first seen with mtime 1624876620.0
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\numpy\lib\scimath.py first seen with mtime 1626675319.9303186
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\allauth\app_settings.py first seen with mtime 1601720715.0
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1626675428.8637931
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\asyncio\base_events.py first seen with mtime 1624876618.0
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1626675428.853753
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File E:\Computer Programs\Python\DJango\django_retail_project\products\urls.py first seen with mtime 1627573601.7917893
DEBUG : 2021-08-02 10:45:50,804 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\cffi\error.py first seen with mtime 1626677062.881898
DEBUG : 2021-08-02 10:45:50,812 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\db\models\manager.py first seen with mtime 1626675428.873868
DEBUG : 2021-08-02 10:45:50,812 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\xlrd\xldate.py first seen with mtime 1626676982.680935
DEBUG : 2021-08-02 10:45:50,812 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\numpy\lib\ufunclike.py first seen with mtime 1626675319.949269
DEBUG : 2021-08-02 10:45:50,812 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\difflib.py first seen with mtime 1624876618.0
DEBUG : 2021-08-02 10:45:50,812 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\urllib3\contrib\_appengine_environ.py first seen with mtime 1626676977.443847
DEBUG : 2021-08-02 10:45:50,812 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\openpyxl\chartsheet\custom.py first seen with mtime 1626676986.1606505
DEBUG : 2021-08-02 10:45:50,812 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\crispy_forms\exceptions.py first seen with mtime 1626677093.0035005
DEBUG : 2021-08-02 10:45:50,812 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\copyreg.py first seen with mtime 1624876618.0
DEBUG : 2021-08-02 10:45:50,812 : autoreload : 2924 : 17212 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1626675429.1130576
