INFO : 2021-08-05 11:54:37,582 : autoreload : 17284 : 6468 : Watching for file changes with StatReloader
DEBUG : 2021-08-05 11:54:37,582 : autoreload : 17284 : 6468 : Waiting for apps ready_event.
DEBUG : 2021-08-05 11:54:37,875 : autoreload : 17284 : 6468 : Apps ready_event triggered. Sending autoreload_started signal.
DEBUG : 2021-08-05 11:54:37,925 : autoreload : 17284 : 6468 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\accounts\templates with glob **/*.
DEBUG : 2021-08-05 11:54:37,925 : autoreload : 17284 : 6468 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\import_export\templates with glob **/*.
DEBUG : 2021-08-05 11:54:37,926 : autoreload : 17284 : 6468 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\allauth\templates with glob **/*.
DEBUG : 2021-08-05 11:54:37,926 : autoreload : 17284 : 6468 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\home\templates with glob **/*.
DEBUG : 2021-08-05 11:54:37,927 : autoreload : 17284 : 6468 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\crispy_forms\templates with glob **/*.
DEBUG : 2021-08-05 11:54:37,927 : autoreload : 17284 : 6468 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\products\templates with glob **/*.
DEBUG : 2021-08-05 11:54:37,927 : autoreload : 17284 : 6468 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\allauth\socialaccount\providers\facebook\templates with glob **/*.
DEBUG : 2021-08-05 11:54:37,927 : autoreload : 17284 : 6468 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\locale with glob **/*.mo.
DEBUG : 2021-08-05 11:54:37,928 : autoreload : 17284 : 6468 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\accounts\locale with glob **/*.mo.
DEBUG : 2021-08-05 11:54:37,928 : autoreload : 17284 : 6468 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\home\locale with glob **/*.mo.
DEBUG : 2021-08-05 11:54:37,928 : autoreload : 17284 : 6468 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\products\locale with glob **/*.mo.
