INFO : 2021-07-30 11:14:37,321 : autoreload : 15080 : 14792 : Watching for file changes with StatReloader
DEBUG : 2021-07-30 11:14:37,324 : autoreload : 15080 : 14792 : Waiting for apps ready_event.
DEBUG : 2021-07-30 11:14:37,718 : autoreload : 15080 : 14792 : Apps ready_event triggered. Sending autoreload_started signal.
DEBUG : 2021-07-30 11:14:37,781 : autoreload : 15080 : 14792 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\allauth\socialaccount\providers\facebook\templates with glob **/*.
DEBUG : 2021-07-30 11:14:37,781 : autoreload : 15080 : 14792 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\allauth\templates with glob **/*.
DEBUG : 2021-07-30 11:14:37,789 : autoreload : 15080 : 14792 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\home\templates with glob **/*.
DEBUG : 2021-07-30 11:14:37,792 : autoreload : 15080 : 14792 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\products\templates with glob **/*.
DEBUG : 2021-07-30 11:14:37,792 : autoreload : 15080 : 14792 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\accounts\templates with glob **/*.
DEBUG : 2021-07-30 11:14:37,792 : autoreload : 15080 : 14792 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\import_export\templates with glob **/*.
DEBUG : 2021-07-30 11:14:37,792 : autoreload : 15080 : 14792 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\crispy_forms\templates with glob **/*.
DEBUG : 2021-07-30 11:14:37,793 : autoreload : 15080 : 14792 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\locale with glob **/*.mo.
DEBUG : 2021-07-30 11:14:37,793 : autoreload : 15080 : 14792 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\accounts\locale with glob **/*.mo.
DEBUG : 2021-07-30 11:14:37,793 : autoreload : 15080 : 14792 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\home\locale with glob **/*.mo.
DEBUG : 2021-07-30 11:14:37,794 : autoreload : 15080 : 14792 : Watching dir E:\Computer Programs\Python\DJango\django_retail_project\products\locale with glob **/*.mo.
DEBUG : 2021-07-30 11:14:37,794 : autoreload : 15080 : 14792 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\crispy_forms\locale with glob **/*.mo.
DEBUG : 2021-07-30 11:14:37,795 : autoreload : 15080 : 14792 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\import_export\locale with glob **/*.mo.
DEBUG : 2021-07-30 11:14:37,795 : autoreload : 15080 : 14792 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\allauth\locale with glob **/*.mo.
DEBUG : 2021-07-30 11:14:37,795 : autoreload : 15080 : 14792 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\allauth\account\locale with glob **/*.mo.
DEBUG : 2021-07-30 11:14:37,795 : autoreload : 15080 : 14792 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\allauth\socialaccount\locale with glob **/*.mo.
DEBUG : 2021-07-30 11:14:37,795 : autoreload : 15080 : 14792 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\allauth\socialaccount\providers\google\locale with glob **/*.mo.
DEBUG : 2021-07-30 11:14:37,796 : autoreload : 15080 : 14792 : Watching dir C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\allauth\socialaccount\providers\facebook\locale with glob **/*.mo.
DEBUG : 2021-07-30 11:14:37,952 : utils : 15080 : 12444 : (0.016) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None
DEBUG : 2021-07-30 11:14:37,959 : utils : 15080 : 12444 : (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=()
DEBUG : 2021-07-30 11:14:38,200 : autoreload : 15080 : 14792 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\contrib\messages\middleware.py first seen with mtime 1626675427.2467403
DEBUG : 2021-07-30 11:14:38,200 : autoreload : 15080 : 14792 : File C:\Users\USER\AppData\Local\Programs\Python\Python39\Lib\site-packages\cffi\error.py first seen with mtime 1626677062.881898
